,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-03 14:00:00,60,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77
2011-01-03 15:00:00,61,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72
2011-01-03 16:00:00,62,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76
2011-01-03 17:00:00,63,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157
2011-01-03 18:00:00,64,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157
2011-01-03 19:00:00,65,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110
2011-01-03 20:00:00,66,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52
2011-01-03 21:00:00,67,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52
2011-01-03 22:00:00,68,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20
2011-01-03 23:00:00,69,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12
2011-01-04 00:00:00,70,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5
2011-01-04 01:00:00,71,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2
2011-01-04 02:00:00,72,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1
2011-01-04 04:00:00,73,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2
2011-01-04 05:00:00,74,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4
2011-01-04 06:00:00,75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36
2011-01-04 07:00:00,76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94
2011-01-04 08:00:00,77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179
2011-01-04 09:00:00,78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100
2011-01-04 10:00:00,79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42
2011-01-04 11:00:00,80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57
2011-01-04 12:00:00,81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78
2011-01-04 13:00:00,82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97
2011-01-04 14:00:00,83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63
2011-01-04 15:00:00,84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65
2011-01-04 16:00:00,85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83
2011-01-04 17:00:00,86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212
2011-01-04 18:00:00,87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182
2011-01-04 19:00:00,88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112
2011-01-04 20:00:00,89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54
2011-01-04 21:00:00,90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48
2011-01-04 22:00:00,91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35
2011-01-04 23:00:00,92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11
2011-01-05 00:00:00,93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6
2011-01-05 01:00:00,94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6
2011-01-05 02:00:00,95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2
2011-01-05 04:00:00,96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2
2011-01-05 05:00:00,97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3
2011-01-05 06:00:00,98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33
2011-01-05 07:00:00,99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88
2011-01-05 08:00:00,100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195
2011-01-05 09:00:00,101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115
2011-01-05 10:00:00,102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57
2011-01-05 11:00:00,103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46
2011-01-05 12:00:00,104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79
2011-01-05 13:00:00,105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71
2011-01-05 14:00:00,106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62
2011-01-05 15:00:00,107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62
2011-01-05 16:00:00,108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89
2011-01-05 17:00:00,109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190
2011-01-05 18:00:00,110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169
2011-01-05 19:00:00,111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132
2011-01-05 20:00:00,112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89
2011-01-05 21:00:00,113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43
2011-01-05 22:00:00,114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42
2011-01-05 23:00:00,115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19
2011-01-06 00:00:00,116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11
2011-01-06 01:00:00,117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4
2011-01-06 02:00:00,118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2
2011-01-06 04:00:00,119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1
2011-01-06 05:00:00,120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4
2011-01-06 06:00:00,121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36
2011-01-06 07:00:00,122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95
2011-01-06 08:00:00,123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219
2011-01-06 09:00:00,124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122
2011-01-06 10:00:00,125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45
2011-01-06 11:00:00,126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59
2011-01-06 12:00:00,127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84
2011-01-06 13:00:00,128,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67
2011-01-06 14:00:00,129,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70
2011-01-06 15:00:00,130,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62
2011-01-06 16:00:00,131,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86
2011-01-06 17:00:00,132,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172
2011-01-06 18:00:00,133,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163
2011-01-06 19:00:00,134,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112
2011-01-06 20:00:00,135,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69
2011-01-06 21:00:00,136,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48
2011-01-06 22:00:00,137,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52
2011-01-06 23:00:00,138,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23
2011-01-07 00:00:00,139,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17
2011-01-07 01:00:00,140,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7
2011-01-07 02:00:00,141,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1
2011-01-07 04:00:00,142,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1
2011-01-07 05:00:00,143,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5
2011-01-07 06:00:00,144,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34
2011-01-07 07:00:00,145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84
2011-01-07 08:00:00,146,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210
2011-01-07 09:00:00,147,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134
2011-01-07 10:00:00,148,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63
2011-01-07 11:00:00,149,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67
2011-01-07 12:00:00,150,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59
2011-01-07 13:00:00,151,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73
2011-01-07 14:00:00,152,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50
2011-01-07 15:00:00,153,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72
2011-01-07 16:00:00,154,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87
2011-01-07 17:00:00,155,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187
2011-01-07 18:00:00,156,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123
2011-01-07 19:00:00,157,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95
2011-01-07 20:00:00,158,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51
2011-01-07 21:00:00,159,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39
2011-01-07 22:00:00,160,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36
2011-01-07 23:00:00,161,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15
2011-01-08 00:00:00,162,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25
2011-01-08 01:00:00,163,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16
2011-01-08 02:00:00,164,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16
2011-01-08 03:00:00,165,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7
2011-01-08 04:00:00,166,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1
2011-01-08 05:00:00,167,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5
2011-01-08 06:00:00,168,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2
2011-01-08 07:00:00,169,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9
2011-01-08 08:00:00,170,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15
2011-01-08 09:00:00,171,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20
2011-01-08 10:00:00,172,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61
2011-01-08 11:00:00,173,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62
2011-01-08 12:00:00,174,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98
2011-01-08 13:00:00,175,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102
2011-01-08 14:00:00,176,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95
2011-01-08 15:00:00,177,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74
2011-01-08 16:00:00,178,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76
2011-01-08 17:00:00,179,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69
2011-01-08 18:00:00,180,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55
2011-01-08 19:00:00,181,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30
2011-01-08 20:00:00,182,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28
2011-01-08 21:00:00,183,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37
2011-01-08 22:00:00,184,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
2011-01-08 23:00:00,185,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22
2011-01-09 00:00:00,186,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25
2011-01-09 01:00:00,187,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12
2011-01-09 02:00:00,188,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11
2011-01-09 03:00:00,189,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4
2011-01-09 04:00:00,190,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
2011-01-09 05:00:00,191,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1
2011-01-09 06:00:00,192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1
2011-01-09 07:00:00,193,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6
2011-01-09 08:00:00,194,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10
2011-01-09 09:00:00,195,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19
2011-01-09 10:00:00,196,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49
2011-01-09 11:00:00,197,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49
2011-01-09 12:00:00,198,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83
2011-01-09 13:00:00,199,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75
2011-01-09 14:00:00,200,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72
2011-01-09 15:00:00,201,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82
2011-01-09 16:00:00,202,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92
2011-01-09 17:00:00,203,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62
2011-01-09 18:00:00,204,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48
2011-01-09 19:00:00,205,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41
2011-01-09 20:00:00,206,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38
2011-01-09 21:00:00,207,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20
2011-01-09 22:00:00,208,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15
2011-01-09 23:00:00,209,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6
2011-01-10 00:00:00,210,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5
2011-01-10 01:00:00,211,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1
2011-01-10 02:00:00,212,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3
2011-01-10 03:00:00,213,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1
2011-01-10 04:00:00,214,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3
2011-01-10 05:00:00,215,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3
2011-01-10 06:00:00,216,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31
2011-01-10 07:00:00,217,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77
2011-01-10 08:00:00,218,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188
2011-01-10 09:00:00,219,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94
2011-01-10 10:00:00,220,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31
2011-01-10 11:00:00,221,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30
2011-01-10 12:00:00,222,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52
2011-01-10 13:00:00,223,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54
2011-01-10 14:00:00,224,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47
2011-01-10 15:00:00,225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45
2011-01-10 16:00:00,226,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74
2011-01-10 17:00:00,227,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178
2011-01-10 18:00:00,228,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155
2011-01-10 19:00:00,229,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95
2011-01-10 20:00:00,230,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74
2011-01-10 21:00:00,231,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38
2011-01-10 22:00:00,232,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24
2011-01-10 23:00:00,233,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18
2011-01-11 00:00:00,234,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12
2011-01-11 01:00:00,235,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3
2011-01-11 02:00:00,236,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3
2011-01-11 05:00:00,237,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6
2011-01-11 06:00:00,238,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27
2011-01-11 07:00:00,239,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99
2011-01-11 08:00:00,240,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217
2011-01-11 09:00:00,241,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130
2011-01-11 10:00:00,242,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54
2011-01-11 11:00:00,243,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35
2011-01-11 12:00:00,244,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57
2011-01-11 13:00:00,245,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52
2011-01-11 14:00:00,246,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63
2011-01-11 15:00:00,247,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47
2011-01-11 16:00:00,248,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76
2011-01-11 17:00:00,249,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136
2011-01-11 18:00:00,250,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95
2011-01-11 19:00:00,251,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51
2011-01-11 20:00:00,252,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32
2011-01-11 21:00:00,253,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20
